county,transport,birthcert,work,lost,disability,family,applied,other,age,black,latino,asian,other_race,relocation,id_capable,hardship,female,white
ANDERSON,0,0,0,0,0,0,0,1,39,0,0,0,0,0,0,1,0,1
ANDERSON,0,0,0,0,1,0,0,0,77,0,0,0,0,0,0,1,1,1
ANDERSON,0,0,0,1,0,0,0,0,14,0,0,0,0,0,1,0,0,1
ANDERSON,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,1,1
ANDERSON,0,0,0,0,1,0,0,0,67,0,0,0,0,0,0,1,1,1
ANDERSON,0,0,0,1,0,0,0,0,77,1,0,0,0,0,1,0,1,0
ANDERSON,0,0,0,1,0,0,0,0,34,0,1,0,0,0,1,0,1,0
ANDERSON,1,0,0,0,0,0,0,0,71,0,0,0,0,0,0,1,1,1
ANDERSON,0,0,0,1,0,0,0,0,72,0,0,0,0,0,1,0,1,1
ANDREWS,0,0,0,0,0,0,0,1,22,0,0,0,0,1,0,0,1,1
ANDREWS,0,0,0,0,0,0,0,1,42,0,1,0,0,1,0,0,1,0
ANDREWS,0,0,0,1,0,0,0,0,44,0,0,0,0,0,1,0,0,1
ANDREWS,1,0,0,0,0,0,0,0,31,0,1,0,0,0,0,1,1,0
ANDREWS,0,0,0,1,0,0,0,0,24,0,0,0,0,0,1,0,1,1
ANDREWS,0,0,0,1,0,0,0,0,38,0,0,0,0,0,1,0,0,1
ANDREWS,0,0,0,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1
ANDREWS,0,0,0,1,0,0,0,0,27,0,0,0,0,0,1,0,0,1
ANDREWS,0,0,0,0,0,0,0,1,22,0,1,0,0,0,0,0,1,0
ANDREWS,0,0,0,1,0,0,0,0,42,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,1,0,0,0,0,19,0,1,0,0,0,1,0,0,0
ANGELINA,0,0,0,1,0,0,0,0,13,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,1,1,1
ANGELINA,0,0,0,0,0,0,0,1,14,1,0,0,0,1,0,0,1,0
ANGELINA,0,0,0,1,0,0,0,0,38,0,0,0,0,0,1,0,1,1
ANGELINA,1,0,0,1,0,0,0,0,63,0,0,0,0,0,1,0,0,1
ANGELINA,0,0,0,1,0,0,0,0,26,0,1,0,0,0,1,0,0,0
ANGELINA,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0,1,1,1
ANGELINA,0,0,0,1,0,0,0,0,90,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,0,1
ANGELINA,0,0,0,1,0,0,0,0,16,0,0,0,0,0,1,0,1,1
ANGELINA,1,0,0,0,0,0,0,0,48,1,0,0,0,0,0,1,0,0
ANGELINA,0,0,0,0,1,0,0,0,71,0,0,0,0,0,0,1,0,1
ANGELINA,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,0,0,0,0,1,20,0,0,0,0,1,0,0,0,1
ANGELINA,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,0,1
ANGELINA,0,0,0,1,1,0,0,0,36,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,1,1
ANGELINA,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,1
ANGELINA,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,1,1,1
ANGELINA,0,0,0,1,0,0,0,0,57,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,1,0,0,0,0,43,0,0,0,0,0,1,0,0,1
ANGELINA,0,0,0,1,0,0,0,0,68,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,1,0,0,0,0,15,1,0,0,0,0,1,0,1,0
ANGELINA,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,1,0,0
ANGELINA,0,0,0,1,0,0,0,0,21,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,1,0,1
ANGELINA,0,0,0,1,0,0,0,0,41,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,0,0,0,0,1,54,1,0,0,0,0,0,0,1,0
ANGELINA,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,1,1,1
ANGELINA,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1
ANGELINA,0,0,0,1,0,0,0,0,17,0,0,0,0,0,1,0,1,1
ANGELINA,0,0,0,1,0,0,0,0,66,0,0,0,0,0,1,0,0,1
ARANSAS,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,1,0,0,1
ARANSAS,0,0,0,0,0,0,0,1,47,0,0,0,0,1,0,0,1,1
ARANSAS,0,0,0,0,0,0,0,1,64,0,0,0,0,1,0,0,1,1
ARANSAS,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,1,0,1
ARANSAS,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,1,1,1
ARANSAS,0,0,0,0,0,0,0,1,74,0,0,0,0,0,0,0,1,1
ARANSAS,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,1,1,1
ARANSAS,0,0,0,0,0,0,1,0,63,0,0,0,0,1,0,0,1,1
ARANSAS,0,1,0,0,0,0,0,0,41,0,0,0,0,0,0,1,1,1
ARANSAS,1,0,0,0,0,0,0,0,80,0,0,0,0,0,0,1,1,1
ARANSAS,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,1,1,1
ARANSAS,0,0,0,1,0,0,0,0,35,0,0,0,0,0,1,0,1,1
ARANSAS,0,0,0,0,0,0,0,1,47,0,0,0,0,1,0,0,0,1
ARANSAS,0,0,0,0,0,0,0,1,31,0,0,0,0,1,0,0,1,1
ARANSAS,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,1,0,1
ARANSAS,0,0,0,0,0,0,0,1,72,0,0,0,0,1,0,0,1,1
ARANSAS,0,0,0,0,0,0,0,1,79,0,0,0,0,1,0,0,0,1
ARANSAS,0,0,0,0,0,0,0,1,55,0,0,0,0,1,0,0,0,1
ARANSAS,0,0,0,1,0,0,0,0,70,0,0,0,0,0,1,0,NA,1
ARANSAS,0,0,0,0,0,0,0,1,18,0,0,0,0,1,0,0,1,1
ARANSAS,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,1
ARANSAS,0,0,0,1,0,0,0,0,56,0,0,0,0,0,1,0,1,1
ARANSAS,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,1,NA,1
ARANSAS,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1
ARANSAS,0,1,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,1
ARANSAS,1,0,0,0,1,0,0,0,46,0,0,0,0,0,0,1,1,1
ARANSAS,0,0,0,0,0,0,0,1,57,0,0,0,0,1,0,0,1,1
ARANSAS,0,0,1,0,0,0,0,0,44,0,0,0,0,0,0,1,0,1
ARCHER,0,0,0,1,0,0,0,0,56,0,0,0,0,0,1,0,0,1
ARCHER,0,0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,1,1
ARCHER,0,0,0,1,0,0,0,0,73,0,0,0,0,0,1,0,1,1
ARCHER,0,0,0,0,1,0,0,0,75,0,0,0,0,0,0,1,1,1
ARCHER,0,1,0,0,1,0,0,0,55,0,0,0,0,0,0,1,1,1
ARCHER,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,1,0,0
ARCHER,0,0,0,0,0,0,0,1,39,0,0,0,0,0,1,0,1,1
ARCHER,0,0,0,0,0,0,0,1,39,0,0,0,0,0,1,0,1,1
ATASCOSA,0,1,0,0,0,0,0,0,63,0,1,0,0,0,0,1,0,0
ATASCOSA,0,0,0,1,0,0,0,0,47,0,0,0,0,0,1,0,1,1
ATASCOSA,0,0,0,0,1,0,0,0,63,0,1,0,0,0,0,1,1,0
ATASCOSA,0,0,1,0,0,0,0,0,49,0,1,0,0,0,0,1,1,0
ATASCOSA,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,1,1,1
ATASCOSA,0,0,0,0,0,0,0,1,75,0,0,0,0,0,1,0,1,1
ATASCOSA,0,0,0,1,0,0,0,0,30,0,1,0,0,0,1,0,1,0
ATASCOSA,0,0,0,0,0,0,0,1,61,0,1,0,0,0,1,0,1,0
ATASCOSA,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,1,0,1
ATASCOSA,0,0,0,1,0,0,0,0,24,0,0,0,0,0,1,0,1,1
ATASCOSA,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,1,0
ATASCOSA,1,1,0,1,0,1,0,0,34,0,0,0,0,0,1,0,0,1
ATASCOSA,0,0,0,0,0,0,0,1,61,0,1,0,0,0,1,0,1,0
ATASCOSA,0,0,0,0,0,0,0,1,58,0,1,0,0,0,1,0,NA,0
