county,transport,birthcert,work,lost,disability,family,applied,other,black,latino,asian,other_race,relocation,id_capable,hardship,female,white
Anderson,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Anderson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Anderson,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Anderson,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Anderson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Anderson,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
Anderson,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Anderson,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Andrews,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Andrews,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
Andrews,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Andrews,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Andrews,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Andrews,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Andrews,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Andrews,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Andrews,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Andrews,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Angelina,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Angelina,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Angelina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Angelina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Angelina,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Angelina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Angelina,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Angelina,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Angelina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
Angelina,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Angelina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Angelina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Angelina,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Aransas,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Aransas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Aransas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Aransas,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Aransas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Aransas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Aransas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Aransas,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Aransas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Aransas,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Aransas,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Aransas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aransas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aransas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Aransas,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Aransas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Aransas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Archer,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Archer,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Archer,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Archer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Archer,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Archer,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Archer,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Archer,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Atascosa,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Atascosa,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Atascosa,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Atascosa,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Atascosa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Atascosa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Atascosa,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Atascosa,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Atascosa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Atascosa,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Atascosa,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Atascosa,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Atascosa,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Atascosa,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Atascosa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Atascosa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Atascosa,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Atascosa,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Atascosa,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Atascosa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Atascosa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Atascosa,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Atascosa,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Atascosa,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Atascosa,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
Atascosa,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Atascosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Atascosa,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
Atascosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Atascosa,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Atascosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Atascosa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Atascosa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Austin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Austin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Austin,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Austin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Austin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Austin,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Austin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Austin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Austin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Austin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Austin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Austin,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Austin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Austin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Austin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Austin,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bailey,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Bailey,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bandera,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bandera,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bandera,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Bandera,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Bandera,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bastrop,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Bastrop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bastrop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Bastrop,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bastrop,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
Bastrop,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Bastrop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Bastrop,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Bastrop,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bastrop,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bastrop,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Bee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Bell,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Bell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bell,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Bell,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Bell,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Bell,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Bell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
Bell,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Bell,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bell,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
Bell,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Bell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Bell,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bell,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bell,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Bell,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Bell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bell,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bexar,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Bexar,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Bexar,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Bexar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bexar,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Bexar,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bexar,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Bexar,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Bexar,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Bexar,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Bexar,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Bexar,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Bexar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bexar,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
Bexar,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Bexar,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
